2023-09-24 23:47:24 status half-installed libxtables12:arm64 1.8.7-1
2023-09-24 23:47:24 status unpacked libxtables12:arm64 1.8.7-1
2023-09-24 23:47:24 install libcap2-bin:arm64 <none> 1:2.44-1
2023-09-24 23:47:24 status half-installed libcap2-bin:arm64 1:2.44-1
2023-09-24 23:47:24 status unpacked libcap2-bin:arm64 1:2.44-1
2023-09-24 23:47:24 install iproute2:arm64 <none> 5.10.0-4
2023-09-24 23:47:24 status half-installed iproute2:arm64 5.10.0-4
2023-09-24 23:47:24 status unpacked iproute2:arm64 5.10.0-4
2023-09-24 23:47:24 install libatm1:arm64 <none> 1:2.5.1-4
2023-09-24 23:47:24 status half-installed libatm1:arm64 1:2.5.1-4
2023-09-24 23:47:24 status unpacked libatm1:arm64 1:2.5.1-4
2023-09-24 23:47:24 install libpam-cap:arm64 <none> 1:2.44-1
2023-09-24 23:47:24 status half-installed libpam-cap:arm64 1:2.44-1
2023-09-24 23:47:24 status unpacked libpam-cap:arm64 1:2.44-1
2023-09-24 23:47:24 startup packages configure
2023-09-24 23:47:24 configure libatm1:arm64 1:2.5.1-4 <none>
2023-09-24 23:47:24 status unpacked libatm1:arm64 1:2.5.1-4
2023-09-24 23:47:24 status half-configured libatm1:arm64 1:2.5.1-4
2023-09-24 23:47:24 status installed libatm1:arm64 1:2.5.1-4
2023-09-24 23:47:24 configure libcap2:arm64 1:2.44-1 <none>
2023-09-24 23:47:24 status unpacked libcap2:arm64 1:2.44-1
2023-09-24 23:47:24 status half-configured libcap2:arm64 1:2.44-1
2023-09-24 23:47:24 status installed libcap2:arm64 1:2.44-1
2023-09-24 23:47:24 configure libcap2-bin:arm64 1:2.44-1 <none>
2023-09-24 23:47:24 status unpacked libcap2-bin:arm64 1:2.44-1
2023-09-24 23:47:24 status half-configured libcap2-bin:arm64 1:2.44-1
2023-09-24 23:47:24 status installed libcap2-bin:arm64 1:2.44-1
2023-09-24 23:47:24 configure libmnl0:arm64 1.0.4-3 <none>
2023-09-24 23:47:24 status unpacked libmnl0:arm64 1.0.4-3
2023-09-24 23:47:24 status half-configured libmnl0:arm64 1.0.4-3
2023-09-24 23:47:24 status installed libmnl0:arm64 1.0.4-3
2023-09-24 23:47:24 configure libxtables12:arm64 1.8.7-1 <none>
2023-09-24 23:47:24 status unpacked libxtables12:arm64 1.8.7-1
2023-09-24 23:47:24 status half-configured libxtables12:arm64 1.8.7-1
2023-09-24 23:47:24 status installed libxtables12:arm64 1.8.7-1
2023-09-24 23:47:24 configure libmd0:arm64 1.0.3-3 <none>
2023-09-24 23:47:24 status unpacked libmd0:arm64 1.0.3-3
2023-09-24 23:47:24 status half-configured libmd0:arm64 1.0.3-3
2023-09-24 23:47:24 status installed libmd0:arm64 1.0.3-3
2023-09-24 23:47:24 configure libbsd0:arm64 0.11.3-1 <none>
